                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3399,                 3.6364,                 1.6855,                 0.0107,                0.82978,                0.14055,                0.09555,                 1.0743,                 3.9299,                 1.5127,             0.00023324,             0.00023324,             0.00023324
                      2,                 1.2358,                  3.037,                 1.5612,                0.70795,                0.05012,                0.14939,                0.09247,                 1.3662,                 3.6348,                 1.8002,             0.00047246,             0.00047246,             0.00047246
                      3,                 1.2884,                 2.8489,                 1.6075,                0.26783,                 0.3487,                0.20296,                0.12272,                 1.4298,                 3.3649,                 1.8874,             0.00070929,             0.00070929,             0.00070929
                      4,                 1.3025,                 2.7868,                 1.6194,                0.15336,                0.39734,                0.14679,                0.07636,                 1.9461,                 3.5029,                 2.5421,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.3247,                 2.6564,                 1.6194,                0.31089,                 0.3756,                0.21465,                0.10936,                 1.6691,                 6.3507,                 2.1854,             0.00082063,             0.00082063,             0.00082063
                      6,                 1.2677,                 2.4971,                 1.5695,                0.19018,                0.59585,                0.24427,                 0.1509,                 1.3793,                 3.0271,                 1.7755,             0.00081651,             0.00081651,             0.00081651
                      7,                 1.3203,                 2.4751,                 1.5782,                0.24699,                0.33703,                 0.2398,                0.11413,                 1.9546,                 3.2246,                 2.6591,             0.00081238,             0.00081238,             0.00081238
                      8,                 1.2807,                 2.3624,                 1.5342,                0.33637,                 0.4474,                0.31825,                0.18183,                 1.5164,                  3.842,                 1.8978,             0.00080826,             0.00080826,             0.00080826
                      9,                 1.2955,                 2.3792,                 1.5785,                0.19618,                0.45919,                 0.2992,                0.17844,                 1.4656,                 2.9806,                 1.8963,             0.00080414,             0.00080414,             0.00080414
                     10,                 1.2484,                 2.2358,                 1.5489,                0.27262,                 0.4775,                0.33419,                0.19597,                 1.4501,                 2.7109,                 1.8142,             0.00080001,             0.00080001,             0.00080001
                     11,                 1.2398,                  2.177,                 1.5263,                0.30918,                0.51077,                0.33751,                0.20535,                 1.4642,                 2.4916,                 1.8711,             0.00079589,             0.00079589,             0.00079589
                     12,                 1.2491,                 2.0966,                 1.5303,                0.31551,                0.47344,                0.36989,                0.20323,                  1.617,                 2.9059,                 1.9512,             0.00079177,             0.00079177,             0.00079177
                     13,                 1.2394,                 2.0499,                 1.5022,                 0.3097,                0.46104,                0.40116,                0.24401,                 1.5781,                    2.5,                 1.9447,             0.00078764,             0.00078764,             0.00078764
                     14,                 1.1891,                 1.9949,                  1.466,                0.29366,                0.53278,                0.37372,                0.23284,                 1.5679,                 2.4068,                 2.0343,             0.00078352,             0.00078352,             0.00078352
                     15,                 1.1934,                 1.9476,                 1.4412,                0.38276,                 0.4444,                0.41131,                0.24035,                 1.5238,                 2.3485,                  1.897,              0.0007794,              0.0007794,              0.0007794
                     16,                 1.2103,                 1.9059,                 1.4753,                0.44812,                0.31431,                0.36102,                0.23782,                  1.344,                 2.6183,                 1.7094,             0.00077527,             0.00077527,             0.00077527
                     17,                 1.1651,                  1.834,                 1.4503,                0.45165,                0.53179,                0.47832,                0.31783,                  1.459,                 2.2801,                  1.805,             0.00077115,             0.00077115,             0.00077115
                     18,                 1.2169,                 1.8668,                 1.4648,                0.31468,                0.43707,                0.36512,                0.22184,                 1.4991,                 2.4339,                  1.812,             0.00076703,             0.00076703,             0.00076703
                     19,                 1.1693,                 1.7977,                 1.4526,                0.37296,                0.53177,                0.44338,                0.28623,                 1.3898,                 2.2854,                 1.7245,              0.0007629,              0.0007629,              0.0007629
                     20,                 1.1926,                 1.7733,                 1.4551,                0.56171,                0.46213,                0.45953,                 0.2923,                 1.3419,                 2.2521,                 1.7006,             0.00075878,             0.00075878,             0.00075878
                     21,                 1.1579,                 1.7341,                  1.464,                0.31297,                0.50038,                0.40689,                0.25487,                 1.4319,                 2.2263,                 1.7582,             0.00075466,             0.00075466,             0.00075466
                     22,                 1.2146,                 1.7712,                 1.5021,                0.49391,                0.43077,                0.45427,                0.25305,                  1.592,                 2.2889,                 1.9144,             0.00075053,             0.00075053,             0.00075053
                     23,                 1.1658,                 1.6661,                 1.4291,                0.42145,                0.57336,                0.50613,                0.32537,                 1.4904,                 1.8983,                 1.8691,             0.00074641,             0.00074641,             0.00074641
                     24,                 1.1234,                  1.613,                 1.4242,                0.52945,                0.47954,                0.47222,                0.30334,                 1.5279,                 2.0583,                 1.9139,             0.00074229,             0.00074229,             0.00074229
                     25,                 1.1439,                 1.5887,                 1.4452,                0.25133,                0.49804,                0.39602,                0.25198,                 1.3742,                 2.5017,                   1.74,             0.00073816,             0.00073816,             0.00073816
                     26,                 1.1843,                 1.5924,                 1.4606,                   0.36,                0.51343,                0.44988,                   0.29,                 1.3874,                 1.9973,                 1.7262,             0.00073404,             0.00073404,             0.00073404
                     27,                 1.0804,                  1.509,                 1.3934,                0.44991,                0.53117,                0.47052,                0.29667,                 1.4936,                 2.1538,                 1.8082,             0.00072992,             0.00072992,             0.00072992
