                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1046,                 1.5374,                 1.5156,                0.39855,                 0.5621,                0.46829,                0.30585,                 1.2391,                 1.3763,                 1.8568,             0.00069693,             0.00069693,             0.00069693
                     35,                 1.1131,                 1.5472,                 1.5321,                0.43188,                0.54893,                0.48731,                 0.3314,                  1.187,                  1.367,                 1.7814,             0.00069281,             0.00069281,             0.00069281
                     36,                 1.1032,                 1.5254,                 1.5092,                0.46948,                0.50945,                0.50555,                0.33411,                 1.1825,                  1.413,                 1.8157,             0.00068868,             0.00068868,             0.00068868
                     37,                 1.1104,                 1.4984,                 1.5238,                0.46967,                0.55634,                0.52818,                0.34102,                 1.2246,                 1.3784,                 1.8325,             0.00068456,             0.00068456,             0.00068456
                     38,                  1.093,                 1.5213,                 1.5188,                0.51209,                0.55863,                0.53126,                0.34718,                 1.2312,                 1.3236,                 1.8357,             0.00068044,             0.00068044,             0.00068044
                     39,                 1.0905,                 1.4852,                 1.5118,                0.46373,                0.56544,                 0.5091,                0.33822,                 1.2233,                 1.3214,                 1.8315,             0.00067631,             0.00067631,             0.00067631
                     40,                 1.0793,                 1.4854,                 1.4985,                0.45468,                0.58378,                0.50897,                 0.3236,                 1.2226,                 1.3478,                 1.8292,             0.00067219,             0.00067219,             0.00067219
                     41,                 1.0887,                 1.4479,                  1.505,                0.40475,                0.60908,                 0.5133,                0.33237,                 1.1825,                 1.3245,                 1.7874,             0.00066807,             0.00066807,             0.00066807
                     42,                  1.074,                 1.4379,                   1.49,                0.48433,                0.59504,                0.54495,                0.36401,                 1.1637,                 1.2555,                  1.768,             0.00066394,             0.00066394,             0.00066394
                     43,                 1.0654,                 1.4331,                 1.4857,                0.51206,                0.55717,                0.56236,                0.37256,                 1.1832,                 1.2332,                 1.8156,             0.00065982,             0.00065982,             0.00065982
                     44,                 1.0722,                 1.4174,                 1.4942,                0.52012,                0.62462,                0.57557,                0.37862,                 1.1908,                 1.2404,                 1.7966,              0.0006557,              0.0006557,              0.0006557
                     45,                 1.0385,                 1.3877,                 1.4578,                0.44379,                0.62295,                0.53724,                0.36378,                 1.1731,                  1.254,                 1.8013,             0.00065157,             0.00065157,             0.00065157
                     46,                 1.0256,                 1.3596,                 1.4535,                0.52458,                0.52951,                0.53695,                0.35542,                 1.1981,                 1.2466,                 1.8064,             0.00064745,             0.00064745,             0.00064745
                     47,                 1.0224,                  1.357,                 1.4511,                0.53824,                0.51373,                0.55103,                0.37665,                 1.1813,                  1.239,                 1.8122,             0.00064333,             0.00064333,             0.00064333
                     48,                 1.0294,                 1.3491,                 1.4568,                0.61226,                0.56747,                0.58788,                0.39041,                 1.2239,                 1.1874,                 1.8336,              0.0006392,              0.0006392,              0.0006392
                     49,                 1.0366,                 1.3332,                 1.4673,                0.51651,                0.57977,                0.56294,                0.36011,                 1.1905,                 1.2715,                 1.7895,             0.00063508,             0.00063508,             0.00063508
                     50,                 1.0344,                 1.3391,                 1.4564,                0.54415,                0.57266,                0.57306,                0.37504,                 1.2359,                 1.2923,                 1.8418,             0.00063096,             0.00063096,             0.00063096
                     51,                 1.0113,                 1.2978,                 1.4352,                0.50541,                 0.6043,                0.57259,                0.38721,                 1.1828,                 1.2769,                 1.7888,             0.00062683,             0.00062683,             0.00062683
                     52,                 1.0016,                 1.3085,                 1.4425,                0.60003,                0.61624,                0.63596,                0.41668,                 1.2201,                 1.2048,                 1.8393,             0.00062271,             0.00062271,             0.00062271
