                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3407,                 3.4485,                 1.6625,                0.01048,                0.84032,                0.10633,                0.06332,                 1.3123,                 3.7571,                   1.63,             0.00027211,             0.00027211,             0.00027211
                      2,                 1.2936,                 2.8875,                 1.6251,                0.17713,                0.40797,                0.18386,                0.11746,                 1.5057,                 3.3112,                 1.9137,             0.00054706,             0.00054706,             0.00054706
                      3,                 1.3803,                 2.6677,                 1.6211,                0.39529,                0.28864,                0.18418,                0.10239,                 1.6461,                 3.7049,                 2.1683,             0.00081925,             0.00081925,             0.00081925
                      4,                 1.3221,                  2.561,                 1.5956,                 0.1225,                0.41522,                0.16898,                0.08976,                 1.5731,                  4.167,                 2.0641,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.3531,                 2.3996,                 1.5943,                 0.1325,                0.45121,                0.22693,                0.12974,                 1.5758,                 3.2236,                 2.0019,             0.00081651,             0.00081651,             0.00081651
                      6,                 1.3276,                 2.3232,                 1.5772,                0.22127,                0.37817,                0.27998,                0.15883,                 1.4895,                  2.759,                 1.8491,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.3092,                 2.2646,                 1.5625,                0.32354,                0.38098,                0.29911,                 0.1785,                 1.5571,                 2.5742,                 1.9892,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.2957,                 2.1856,                 1.5436,                0.55348,                0.31709,                0.34177,                0.19893,                 1.5386,                 2.5343,                 1.8836,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.2854,                 2.1159,                 1.5441,                0.24173,                0.44044,                0.27047,                0.15941,                 1.7027,                 2.6488,                 2.0892,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.3127,                 2.0628,                 1.5433,                0.32771,                 0.3413,                0.34144,                0.19905,                 1.5717,                 2.3213,                 1.8247,             0.00079589,             0.00079589,             0.00079589
                     11,                 1.2624,                 1.9775,                 1.5244,                0.24389,                0.42777,                0.30886,                0.19079,                 1.4177,                 2.3261,                 1.7988,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.2982,                 1.9288,                 1.5311,                0.50168,                0.33598,                0.30897,                0.18354,                 1.4863,                 2.3992,                 1.8435,             0.00078764,             0.00078764,             0.00078764
                     13,                 1.2503,                 1.9247,                 1.4984,                0.35388,                0.38231,                0.39647,                0.25046,                 1.4259,                 2.2851,                 1.7293,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.2222,                 1.8363,                 1.4854,                0.34091,                0.53614,                 0.4584,                0.29582,                 1.3761,                 1.9135,                 1.6846,              0.0007794,              0.0007794,              0.0007794
