                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.057,                 1.4163,                 1.3828,                 0.6531,                0.52462,                0.55366,                0.34543,                 1.5098,                 1.5999,                 1.7961,             0.00069693,             0.00069693,             0.00069693
                     35,                 1.0782,                 1.4073,                 1.3853,                0.44476,                0.49226,                0.48593,                0.31535,                 1.4276,                 1.8159,                 1.7283,             0.00069281,             0.00069281,             0.00069281
                     36,                 1.0134,                  1.386,                 1.3453,                0.40664,                0.55215,                0.49146,                0.30736,                 1.3804,                 1.6451,                 1.7408,             0.00068868,             0.00068868,             0.00068868
                     37,                 1.0461,                 1.3467,                 1.3553,                0.48657,                0.51666,                0.56101,                 0.3616,                 1.3761,                 1.5632,                 1.7073,             0.00068456,             0.00068456,             0.00068456
                     38,                 1.0734,                 1.3776,                  1.373,                0.49067,                 0.6141,                0.54765,                0.34273,                   1.46,                 1.7164,                 1.7291,             0.00068044,             0.00068044,             0.00068044
                     39,                 1.0585,                 1.3455,                 1.3705,                0.43925,                0.58493,                0.52361,                0.35116,                 1.3842,                 1.7113,                 1.6903,             0.00067631,             0.00067631,             0.00067631
                     40,                 1.0299,                 1.3733,                 1.3804,                0.50692,                0.55618,                0.55893,                0.35597,                  1.437,                 1.5989,                 1.7582,             0.00067219,             0.00067219,             0.00067219
                     41,                 1.0111,                 1.2113,                 1.3384,                0.56061,                0.58368,                0.59187,                0.37921,                 1.3256,                 1.4173,                 1.6482,             0.00066807,             0.00066807,             0.00066807
                     42,                   1.02,                 1.2767,                 1.3314,                0.45699,                0.59483,                0.54423,                0.34338,                 1.3027,                 1.7529,                 1.6689,             0.00066394,             0.00066394,             0.00066394
                     43,                0.98912,                 1.2877,                 1.3449,                 0.5643,                0.51117,                0.56706,                0.36041,                 1.3058,                 1.6516,                 1.6612,             0.00065982,             0.00065982,             0.00065982
                     44,                 1.0275,                  1.301,                  1.329,                0.46593,                0.52906,                0.52361,                0.32408,                 1.3751,                 1.5619,                 1.6995,              0.0006557,              0.0006557,              0.0006557
                     45,                 1.0317,                 1.2762,                 1.3637,                0.49319,                0.59983,                0.56793,                0.34821,                 1.3666,                 1.5736,                 1.6614,             0.00065157,             0.00065157,             0.00065157
                     46,                0.99112,                 1.2553,                 1.3207,                0.61288,                0.54883,                0.54581,                 0.3405,                 1.3609,                 1.7851,                 1.7013,             0.00064745,             0.00064745,             0.00064745
                     47,                0.98666,                 1.2279,                 1.3402,                0.71204,                0.44794,                 0.5128,                0.30179,                 1.3599,                 1.7682,                 1.6519,             0.00064333,             0.00064333,             0.00064333
                     48,                0.95794,                 1.1555,                 1.2965,                0.51272,                 0.5368,                0.57062,                0.35942,                 1.4096,                 1.5284,                 1.6924,              0.0006392,              0.0006392,              0.0006392
                     49,                0.98033,                 1.1738,                 1.3244,                0.62612,                0.53609,                0.61201,                0.37091,                 1.3847,                 1.7142,                 1.7213,             0.00063508,             0.00063508,             0.00063508
                     50,                0.94519,                 1.1164,                 1.2681,                0.50747,                0.61853,                0.58671,                0.38003,                 1.2551,                 1.5773,                 1.5932,             0.00063096,             0.00063096,             0.00063096
                     51,                0.94333,                 1.1266,                 1.2613,                0.43237,                0.63456,                0.54921,                0.37145,                  1.339,                 1.6513,                 1.7181,             0.00062683,             0.00062683,             0.00062683
