                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.099,                 1.2216,                  1.436,                0.53482,                 0.6345,                0.60709,                 0.3855,                 1.3582,                 1.3479,                 1.8596,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0774,                 1.1903,                 1.4187,                0.58315,                0.66205,                0.62671,                0.40538,                 1.2483,                 1.3308,                 1.7842,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0677,                 1.1743,                 1.4073,                0.60376,                0.57181,                 0.6024,                0.38807,                 1.2792,                 1.3153,                 1.7932,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0531,                 1.1606,                 1.4025,                0.63452,                0.51554,                0.61029,                0.39783,                 1.2746,                 1.3054,                 1.7873,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0478,                 1.1837,                 1.4083,                0.59601,                0.60714,                0.63867,                0.41373,                 1.2732,                 1.2295,                 1.7885,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0492,                 1.1401,                 1.3965,                0.59198,                0.56923,                0.58843,                0.38454,                 1.2556,                   1.42,                 1.7761,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0649,                 1.1297,                 1.3931,                0.55196,                0.57018,                0.56392,                0.35141,                 1.3001,                 1.4516,                 1.8259,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0419,                 1.1249,                 1.3964,                0.66871,                0.60648,                0.64853,                0.42312,                 1.2595,                 1.3473,                 1.7977,               0.009604,               0.009604,               0.009604
                     42,                  1.049,                 1.1026,                 1.3957,                 0.5747,                0.60144,                0.59144,                 0.3892,                 1.2836,                 1.4412,                  1.812,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0197,                 1.0922,                 1.3904,                 0.5981,                0.64633,                0.63617,                0.40015,                 1.3091,                 1.3595,                 1.8284,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.0552,                 1.0925,                 1.3954,                0.67074,                0.55323,                 0.5861,                0.38843,                 1.2943,                 1.4706,                  1.828,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.0438,                 1.0768,                 1.3795,                0.58749,                0.57256,                0.60216,                0.39921,                 1.3005,                 1.3385,                 1.8313,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.0071,                 1.0515,                 1.3575,                0.52851,                0.61561,                0.61718,                0.40342,                 1.2569,                 1.3406,                 1.7784,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.0085,                 1.0335,                 1.3611,                0.70497,                0.52408,                0.60055,                 0.3672,                 1.3088,                 1.3143,                  1.844,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.0205,                 1.0362,                 1.3686,                0.63196,                0.59536,                0.64044,                0.40995,                 1.2848,                 1.2821,                 1.8121,              0.0095347,              0.0095347,              0.0095347
                     49,                0.99658,                 1.0285,                 1.3651,                0.62625,                0.54542,                0.59371,                0.38437,                 1.3188,                 1.3462,                 1.8488,              0.0095248,              0.0095248,              0.0095248
                     50,                0.99974,                 1.0134,                 1.3525,                0.63467,                0.56957,                0.60805,                0.38856,                 1.2948,                 1.3046,                 1.8042,              0.0095149,              0.0095149,              0.0095149
                     51,                0.99405,                 1.0045,                 1.3534,                0.69715,                0.53075,                0.60248,                0.38474,                 1.2935,                  1.381,                 1.8002,               0.009505,               0.009505,               0.009505
                     52,                0.98879,                 1.0006,                 1.3611,                0.65737,                 0.6103,                0.64297,                0.40846,                 1.3157,                 1.2833,                   1.86,              0.0094951,              0.0094951,              0.0094951
                     53,                0.97828,                0.99389,                 1.3505,                0.70442,                 0.5542,                0.61711,                0.40459,                 1.2634,                 1.3997,                 1.8133,              0.0094852,              0.0094852,              0.0094852
                     54,                0.98651,                0.99252,                 1.3405,                0.53746,                0.62626,                0.54505,                0.35456,                 1.3058,                 1.4542,                 1.8403,              0.0094753,              0.0094753,              0.0094753
